nombre,latitud,longitud,codigo
Piura 500 kV,-5.226489,-80.546041,SICN206
La Niña 500 kV,-5.927706,-80.531437,SICN105
Veracruz 500 kV,-6.087332,-78.51023,SICN118
Trujillo 500 kV,-8.049762,-79.022375,SICN100
Celendin 500 kV,-7.000912,-78.168339,SICN216
Chimbote 500 kV,-9.063317,-78.600627,SICN-99
Carabayllo 500 kV,-11.796594,-76.962662,SICN-82
Carapongo 500 kV,-11.974657,-76.86177,SICN201
Planicie 500 kV,-12.088403,-76.842822,SICN202
Chilca 500 kV,-12.50344,-76.727735,SICN-81
Independencia 500 kV,-13.716707,-75.968144,SICN207
Poroma 500 kV,-15.046984,-75.052856,SICN101
Ocoña 500 kV,-16.443568,-73.033775,SIS-56
San Jose 500 kV,-16.67661,-71.807989,SIS-51
Montalvo 500 kV,-17.190489,-71.000205,SIS-41
Yarabamba 500 kV,-16.504621,-71.518881,SIS-48
Colcabamba 500 kV,-12.381988,-74.647289,SICN103
Yanango 500 kV,-11.187629,-75.465764,SICN204
Huanuco 500 kV,-9.937767,-76.238649,SICN211
Tocache 500 kV,-8.513529,-76.38442,SICN214
Abancay 500 kV,-13.53867,-72.800888,SICN220
Onocora 500 kV,-14.25666161,-71.23743953,SICN221
Machala 220 kV,-3.269989,-79.93284,SICN-73
Zorritos 220 kV,-3.645867,-80.603743,SICN-65
Tumbes 220 kV,-3.545202274,-80.3463067,SICN165
Talara 220 kV,-4.536405,-81.264484,SICN-51
Pariñas 220 kV,-4.556587,-81.181564,SICN051
Piura Oeste 220 kV,-5.168706,-80.699155,SICN-42
Piura Este 220 kV,-5.168706,-80.699155,SICN306
Chira 220 kV,-5.187718,-80.69457,SICN142
La Niña 220 kV,-5.927706,-80.531437,SICN-98
Felam 220 kV,-6.314233,-80.241161,SICN123
Chiclayo 220 kV,-6.781682,-79.869765,SICN-14
Reque 220 kV,-6.862881,-79.792932,SICN108
Guadalupe 220 kV,-7.305982,-79.458096,SICN-17
Carhuaquero 220 kV,-6.606665,-79.246285,SICN-11
Trujillo 220 kV,-8.049762,-79.022375,SICN-54
Trujillo Nueva 220 kV,-8.049762,-79.022375,SICN054
Viru 220 kV,-8.406661,-78.792955,SICN154
Cajamarca 220 kV,-7.057785,-78.602604,SICN-78
Celendin 220 kV,-7.000912,-78.168339,SICN217
Caclic 220 kV,-6.242236,-77.854299,SICN109
Moyobamba 220 kV,-6.046874,-76.973574,SICN110
Iquitos 220 kV,-3.641006,-73.220089,SICN112
Cerro Corona 220 kV,-6.769881,-78.62982,SICN-77
La Ramada 220 kV,-7.913163,-78.153501,SICN113
Kiman Ayllu 220 kV,-8.775515,-77.872572,SICN-79
Chimbote 220 kV,-9.009861,-78.557924,SICN-15
Huarmey 220 kV,-10.065453,-78.126093,SICN041
Paramonga 220 kV,-10.679922,-77.741764,SICN-41
Medio Mundo 220 kV,-10.895156,-77.632442,SICN141
Huacho 220 kV,-11.114392,-77.516236,SICN-20
TPCH 220 kV,-11.58504,-77.271608,SICN134
Lomera 220 kV,-11.433193,-77.274957,SICN114
Zapallal 220 kV,-11.827599,-77.047768,SICN-58
Carabayllo 220 kV,-11.796594,-76.962662,SICN158
Mirador 220 kV,-11.905434,-76.985884,SICN-68
Malvinas 220 kV,-12.041115,-77.054456,SICN068
Ventanilla 220 kV,-11.937112,-77.118239,SICN-55
Chillon 220 kV,-11.931491,-77.116864,SICN055
Chavarria 220 kV,-11.997458,-77.065894,SICN-13
