COD_CIR;Origen;Destino;Nom_orig;Nom_Des;Km;Res;Reac;tension;proy
LNX-112;SICN105;SICN206;La Ni–a 500 kV;Piura 500 kV;87;0.0239;0.3172;500;0
LNX-044;SICN100;SICN105;Trujillo 500 kV;La Ni–a 500 kV;327;0.0239;0.3172;500;0
LNX-041;SICN-99;SICN100;Chimbote 500 kV;Trujillo 500 kV;146.7;0.021;0.313;500;0
LNX-040;SICN-82;SICN-99;Carabayllo 500 kV;Chimbote 500 kV;384.7;0.021;0.1572;500;0
LNX-079;SICN201;SICN-82;Carapongo 500 kV;Carabayllo 500 kV;28;0.0315;0.317;500;0
LNX-077;SICN-81;SICN201;Chilca 500 kV;Carapongo 500 kV;63.2;0.0316;0.317;500;0
LNX-107;SICN202;SICN-82;Planicie 500 kV;Carabayllo 500 kV;39.7;0.0316;0.317;500;1
LNXA107;SICN202;SICN201;Planicie 500 kV;Carapongo 500 kV;11.7;0.0316;0.317;500;1
LNXB107;SICN201;SICN-82;Carapongo 500 kV;Carabayllo 500 kV;28;0.0316;0.317;500;1
LNX-106;SICN-81;SICN202;Chilca 500 kV;Planicie 500 kV;50.1;0.0316;0.317;500;0
LNX-42A;SICN-81;SICN207;Chilca 500 kV;Independencia 500 kV;170;0.0257;0.3515;500;0
LNX-42B;SICN207;SICN101;Independencia 500 kV;Poroma 500 kV;186.2;0.0257;0.3515;500;0
LNX-43A;SICN101;SIS-56;Poroma 500 kV;Oco–a 500 kV;271;0.0256;0.3462;500;0
LNX-43C;SIS-56;SIS-51;Oco–a 500 kV;San Jose 500 kV;138;0.0262;0.127;500;0
LNX-43B;SIS-51;SIS-41;San Jose 500 kV;Montalvo 500 kV;117;0.0262;0.127;500;0
LNX-081;SIS-48;SIS-41;Yarabamba 500 kV;Montalvo 500 kV;97.7;0.024;0.334;500;0
LNX-069;SICN101;SIS-48;Poroma 500 kV;Yarabamba 500 kV;454.4;0.0222;0.1535;500;0
LNX-047;SICN103;SICN101;Colcabamba 500 kV;Poroma 500 kV;360.1;0.0222;0.1657;500;0
LNX-088;SICN103;SICN204;Colcabamba 500 kV;Yanango 500 kV;179;0.0316;0.1585;500;0
LNX-089;SICN204;SICN201;Yanango 500 kV;Carapongo 500 kV;211;0.0316;0.1585;500;0
LNX-115;SICN211;SICN204;Huanuco 500 kV;Yanango 500 kV;184;0.0316;0.317;500;0
TNE-043;SICN206;SICN306;Piura 500 kV;Piura Este 220 kV;1;0.7438;66.7083;500;0
TNE-033;SICN105;SICN-98;La Ni–a 500 kV;La Ni–a 220 kV;1;0.7438;66.7083;500;0
TNE-030;SICN100;SICN054;Trujillo 500 kV;Trujillo Nueva 220 kV;1;0.415;55.7667;500;0
TNE-029;SICN-99;SICN-15;Chimbote 500 kV;Chimbote 220 kV;1;0.415;55.7667;500;0
TNE-023;SICN-82;SICN158;Carabayllo 500 kV;Carabayllo 220 kV;1;0.5015;67.875;500;0
TNE-b23;SICN-82;SICN158;Carabayllo 500 kV;Carabayllo 220 kV;1;0.5015;67.875;500;0
TNE-038;SICN201;SICN046;Carapongo 500 kV;Carapongo 220 kV;1;0.4697;54.2333;500;0
TNE-040;SICN202;SICN-84;Planicie 500 kV;Planicie 220 kV;1;0.5015;67.875;500;0
TNE-022;SICN-81;SICN106;Chilca 500 kV;Chilca CTM 220 kV;1;0.4958;67.6667;500;0
TNE-025;SICN-81;SICN106;Chilca 500 kV;Chilca CTM 220 kV;1;0.4958;67.6667;500;0
TNE-031;SICN101;SICN029;Poroma 500 kV;Poroma 220 kV;1;1.0037;81.1111;500;0
TNE-036;SIS-51;SIS-52;San Jose 500 kV;San Jose 220 kV;1;0.744;70.5417;500;0
TNE-B36;SIS-51;SIS-52;San Jose 500 kV;San Jose 220 kV;1;0.744;70.5417;500;0
TNE-032;SIS-41;SIS-35;Montalvo 500 kV;Montalvo 220 kV;1;0.6867;56.3333;500;0
TNE-037;SIS-48;SIS148;Yarabamba 500 kV;Yarabamba 220 kV;1;0.0379;54;500;0
TNE-024;SICN103;SICN-04;Colcabamba 500 kV;Colcabamba 220 kV;1;0.0379;54;500;0
TNE-087;SICN204;SICN185;Yanango 500 kV;Yanango Nueva 220 kV;1;0.0588;67.9167;500;0
TNE-045;SICN211;SICN212;Huanuco 500 kV;Huanuco 220 kV;1;0.0588;67.9167;500;0
LNE-a93;SICN-65;SICN165;Zorritos 220 kV;Tumbes 220 kV;28;0.0548;0.4858;220;0
LNE-b93;SICN165;SICN-73;Tumbes 220 kV;Machala 220 kV;27;0.0548;0.4858;220;1
LNE-a91;SICN-51;SICN051;Talara 220 kV;Pari–as 220 kV;11;0.0648;0.4999;220;0
LNE-b91;SICN051;SICN-65;Pari–as 220 kV;Zorritos 220 kV;126;0.0648;0.4999;220;0
LNE-142;SICN051;SICN165;Pari–as 220 kV;Tumbes 220 kV;158;0.0648;0.4999;220;0
LNE-128;SICN-51;SICN051;Talara 220 kV;Pari–as 220 kV;11;0.0582;0.5089;220;0
LNE-129;SICN051;SICN-42;Pari–as 220 kV;Piura Oeste 220 kV;92.7;0.0582;0.5089;220;0
LNE-130;SICN-51;SICN051;Talara 220 kV;Pari–as 220 kV;11;0.0711;0.4999;220;0
LNEb131;SICN051;SICN142;Pari–as 220 kV;Chira 220 kV;63;0.0711;0.4999;220;0
LNEa131;SICN142;SICN-42;Chira 220 kV;Piura Oeste 220 kV;31;0.0711;0.4999;220;0
LNEa106;SICN-42;SICN306;Piura Oeste 220 kV;Piura Este 220 kV;28;0.0743;0.4884;220;0
LNEb106;SICN306;SICN-98;Piura Este 220 kV;La Ni–a 220 kV;92.6;0.0855;0.4982;220;0
LNE-107;SICN-98;SICN-14;La Ni–a 220 kV;Chiclayo 220 kV;122.5;0.0781;0.5067;220;0
LNEe110;SICN-42;SICN306;Piura Oeste 220 kV;Piura Este 220 kV;28;0.0743;0.4884;220;0
LNEf110;SICN306;SICN-98;Piura Este 220 kV;La Ni–a 220 kV;92.6;0.0855;0.4982;220;0
LNEd110;SICN-98;SICN123;La Ni–a 220 kV;Felam 220 kV;55.7;0.0783;0.5058;220;0
LNEb110;SICN123;SICN-14;Felam 220 kV;Chiclayo 220 kV;66.8;0.0783;0.5061;220;0
LN-004A;SICN-14;SICN108;Chiclayo 220 kV;Reque 220 kV;13.8;0.0786;0.4425;220;0
LN-111A;SICN-14;SICN108;Chiclayo 220 kV;Reque 220 kV;13.8;0.0786;0.4425;220;0
LN-004B;SICN108;SICN-17;Reque 220 kV;Guadalupe 220 kV;72.6;0.0786;0.4425;220;0
LN-111B;SICN108;SICN-17;Reque 220 kV;Guadalupe 220 kV;72.6;0.0786;0.4425;220;0
LNX-144;SICN108;SICN-11;Reque 220 kV;Carhuaquero 220 kV;70;0.09;0.49;220;0
LNE-003;SICN-14;SICN-11;Chiclayo 220 kV;Carhuaquero 220 kV;83;0.09;0.49;220;0
LNE-005;SICN-54;SICN-17;Trujillo 220 kV;Guadalupe 220 kV;103.4;0.0931;0.5325;220;0
LNE-112;SICN-54;SICN-17;Trujillo 220 kV;Guadalupe 220 kV;103.4;0.078;0.4982;220;0
LNE-121;SICN-54;SICN054;Trujillo 220 kV;Trujillo Nueva 220 kV;4;0.03;0.279;220;0
LNE-122;SICN-54;SICN054;Trujillo 220 kV;Trujillo Nueva 220 kV;4;0.03;0.279;220;0
LNX-022;SICN-54;SICN-78;Trujillo 220 kV;Cajamarca 220 kV;137;0.0564;0.5015;220;0
LNE-120;SICN-11;SICN-78;Carhuaquero 220 kV;Cajamarca 220 kV;95.8;0.042;0.383;220;0
LNEa115;SICN-78;SICN217;Cajamarca 220 kV;Celendin 220 kV;59;0.042;0.37;220;0
LNEb115;SICN217;SICN109;Celendin 220 kV;Caclic 220 kV;100.3;0.042;0.37;220;0
LNE-116;SICN109;SICN110;Caclic 220 kV;Moyobamba 220 kV;110.2;0.054;0.49;220;0
LNEa147;SICN-78;SICN217;Cajamarca 220 kV;Celendin 220 kV;59;0.042;0.37;220;0
LNEb147;SICN217;SICN109;Celendin 220 kV;Caclic 220 kV;100.3;0.042;0.37;220;0
LNE-148;SICN109;SICN110;Caclic 220 kV;Moyobamba 220 kV;110.2;0.054;0.49;220;0
LNE-124;SICN110;SICN112;Moyobamba 220 kV;Iquitos 220 kV;587.8;0.0422;0.1274;220;1
LNX-021;SICN-77;SICN-78;Cerro Corona 220 kV;Cajamarca 220 kV;33.7;0.0693;0.4957;220;0
LNE-006;SICN-15;SICN-54;Chimbote 220 kV;Trujillo 220 kV;132.9;0.0577;0.4829;220;0
LNEa007;SICN-15;SICN154;Chimbote 220 kV;Viru 220 kV;75;0.067;0.48;220;0
LNEb007;SICN154;SICN-54;Viru 220 kV;Trujillo 220 kV;58.8;0.067;0.48;220;0
LNE-008;SICN-41;SICN-15;Paramonga 220 kV;Chimbote 220 kV;221.2;0.09;0.48;220;0
LNXa002;SICN-41;SICN041;Paramonga 220 kV;Huarmey 220 kV;90;0.09;0.48;220;0
LNXb002;SICN041;SICN-15;Huarmey 220 kV;Chimbote 220 kV;131.2;0.09;0.48;220;0
LNX-033;SICN-80;SICN-41;Conococha 220 kV;Paramonga 220 kV;92.5;0.0575;0.505;220;0
LNX-a23;SICN-78;SICN113;Cajamarca 220 kV;La Ramada 220 kV;123.3;0.0452;0.3917;220;0
